province,year_month,dengue_cases,temperature,humidity,rainfall,lat,lon,month,year,month_sin,month_cos,dengue_cases_lag_1,dengue_cases_lag_2,dengue_cases_lag_3,dengue_cases_lag_6,dengue_cases_lag_12,temperature_lag_1,temperature_lag_2,temperature_lag_3,humidity_lag_1,humidity_lag_2,humidity_lag_3,rainfall_lag_1,rainfall_lag_2,rainfall_lag_3,dengue_cases_roll_3,dengue_cases_roll_6,temperature_roll_3,temperature_roll_6,humidity_roll_3,humidity_roll_6,rainfall_roll_3,rainfall_roll_6,temperature_std_3,temperature_std_6,humidity_std_3,humidity_std_6,rainfall_std_3,rainfall_std_6,dengue_growth_rate,outbreak_momentum,target_h1,target_h2,target_h3
CHIANG MAI,2016-07,903,25.18,82.18,5.92,18.708271026500057,98.72501874169616,7,2016,-0.4999999999999997,-0.8660254037844388,260.0,96.0,57.0,73.0,530.0,25.47,29.24,31.19,80.92,58.66,40.92,6.25,3.52,0.87,137.66666666666666,91.83333333333333,28.63333333333333,25.855,60.166666666666664,55.336666666666666,3.546666666666667,2.14,2.9078571720999893,4.346698747325377,20.04251813853072,14.281000898629836,2.6900991307632753,2.35983050238783,0.9213482628456032,203.0,1339.0,700.0,216.0
CHIANG MAI,2016-08,1339,24.75,84.02,5.62,18.708271026500057,98.72501874169616,8,2016,-0.8660254037844385,-0.5000000000000004,903.0,260.0,96.0,24.0,715.0,25.18,25.47,29.24,82.18,80.92,58.66,5.92,6.25,3.52,419.6666666666667,230.16666666666666,26.63,26.758333333333336,73.92,59.71833333333334,5.23,2.8433333333333333,2.2649724060129297,3.252060372543332,13.23055554389154,18.02664296719349,1.4900671125825162,2.791799897318335,1.10576094401099,807.0,700.0,216.0,182.0
CHIANG MAI,2016-09,700,24.38,88.57,6.79,18.708271026500057,98.72501874169616,9,2016,-1.0,-1.8369701987210297e-16,1339.0,903.0,260.0,41.0,925.0,24.75,25.18,25.47,84.02,82.18,80.92,5.62,5.92,6.25,834.0,449.3333333333333,25.133333333333336,27.213333333333335,82.37333333333333,65.07666666666667,5.930000000000001,3.7016666666666667,0.3622614157391532,2.5775543964515433,1.559016784172647,19.907302847615163,0.3151190251317722,2.7065654742988694,0.38893844434488456,1079.0,216.0,182.0,61.0
CHIANG MAI,2016-10,216,24.06,88.05,5.46,18.708271026500057,98.72501874169616,10,2016,-0.8660254037844386,0.5000000000000001,700.0,1339.0,903.0,57.0,806.0,24.38,24.75,25.18,88.57,84.02,82.18,6.79,5.62,5.92,980.6666666666666,559.1666666666666,24.77,26.701666666666668,84.92333333333333,72.545,6.11,4.828333333333333,0.40037482438335575,2.8149558907142183,3.2893819074914186,18.67824376112488,0.6077005841695389,2.2391017544244534,-0.6267778261228266,-203.0,182.0,61.0,33.0
CHIANG MAI,2016-11,182,22.1,86.13,1.92,18.708271026500057,98.72501874169616,11,2016,-0.5000000000000004,0.8660254037844384,216.0,700.0,1339.0,96.0,797.0,24.06,24.38,24.75,88.05,88.57,84.02,5.46,6.79,5.62,751.6666666666666,585.6666666666666,24.396666666666665,25.513333333333332,86.88,80.39999999999999,5.956666666666667,5.593333333333333,0.3453018003621404,1.8963297884773818,2.4904417278865414,11.085505852237912,0.726108348205233,1.1213503764063513,-1.0567685358784162,-1123.0,61.0,33.0,23.0
CHIANG MAI,2016-12,61,20.46,79.29,0.14,18.708271026500057,98.72501874169616,12,2016,-2.4492935982947064e-16,1.0,182.0,216.0,700.0,260.0,316.0,22.1,24.06,24.38,86.13,88.05,88.57,1.92,5.46,6.79,366.0,600.0,23.513333333333332,24.323333333333334,87.58333333333333,84.97833333333334,4.723333333333334,5.326666666666666,1.2343959386409735,1.203871532459617,1.2851977798501708,3.126681414322221,2.517187584057519,1.7352310124783576,-0.17085426277114257,-518.0,33.0,23.0,27.0
CHIANG MAI,2017-01,33,21.02,77.01,1.44,18.708271026500057,98.72501874169616,1,2017,0.49999999999999994,0.8660254037844387,61.0,182.0,216.0,903.0,73.0,20.46,22.1,24.06,79.29,86.13,88.05,0.14,1.92,5.46,153.0,566.8333333333334,22.206666666666667,23.488333333333333,84.49000000000001,84.70666666666666,2.506666666666667,4.308333333333334,1.8023688116845915,1.8261261365707082,4.604519518907325,3.5867794282152277,2.7080866554328216,2.641290719831247,-0.9958846916967332,-155.0,23.0,27.0,37.0
CHIANG MAI,2017-02,23,22.85,54.19,0.0,18.708271026500057,98.72501874169616,2,2017,0.8660254037844386,0.5000000000000001,33.0,61.0,182.0,1339.0,24.0,21.02,20.46,22.1,77.01,79.29,86.13,1.44,0.14,1.92,92.0,421.8333333333333,21.19333333333333,22.794999999999998,80.81,83.84499999999998,1.166666666666667,3.561666666666667,0.8336266150581633,1.8450121950816443,4.746198478782634,4.7481522722003335,0.9209415471859886,2.726421953158878,-0.5957445540969033,-149.0,27.0,37.0,114.0
CHIANG MAI,2017-03,27,26.29,47.21,0.96,18.708271026500057,98.72501874169616,3,2017,1.0,6.123233995736766e-17,23.0,33.0,61.0,700.0,41.0,22.85,21.02,20.46,54.19,77.01,79.29,0.0,1.44,0.14,39.0,202.5,21.44333333333334,22.478333333333335,70.16333333333334,78.87333333333333,0.526666666666667,2.625,1.2499733330488818,1.5874308383884477,13.880206530643992,12.990830099214882,0.7940612906654757,2.840829104328524,-0.3571427295918823,-38.0,37.0,114.0,232.0
CHIANG MAI,2017-04,37,27.37,62.45,3.0,18.708271026500057,98.72501874169616,4,2017,0.8660254037844387,-0.4999999999999998,27.0,23.0,33.0,216.0,57.0,26.29,22.85,21.02,47.21,54.19,77.01,0.96,0.0,1.44,27.666666666666668,90.33333333333333,23.386666666666667,22.796666666666667,59.47,71.98,0.8000000000000003,1.6533333333333333,2.675674369824049,2.1402865851718667,15.585852559292318,17.130332162570582,0.7332121111929265,2.0055788856753236,0.1599999360000256,-6.0,114.0,232.0,413.0
