region,year,month,dengue_cases,temperature,humidity,rainfall
Dak Lak,2008,10,8.0,23.09418230769231,0.8787458406430838,0.5048571470069874
Dak Lak,2008,11,11.0,25.175526923076923,1.1027883913905403,0.8961160100835303
Dak Lak,2008,12,10.0,24.897585384615386,1.2554112783918148,4.626584210200236
Dak Lak,2009,1,22.0,24.123270769230768,1.7785745891339138,9.912163001270251
Dak Lak,2009,2,46.0,24.942684615384618,0.8384072118589008,9.071900652578243
Dak Lak,2009,3,104.0,24.33069076923077,-0.001063120102977239,6.818467804875511
Dak Lak,2009,4,94.0,24.736793076923075,-0.00919763762004588,7.508304480534909
Dak Lak,2009,5,0.0,23.235412307692307,0.4567440498239367,9.536953777289732
Dak Lak,2009,6,0.0,23.22344,0.4849201993341656,9.05776084758914
Dak Lak,2009,7,78.0,22.315653846153847,-0.31296814271533335,5.5877088184038595
Dak Lak,2009,8,44.0,21.589553846153844,-0.785474068706619,2.3248415033902265
Dak Lak,2009,9,35.0,22.096512307692308,0.041385701950209866,1.4446004585932242
Dak Lak,2009,10,15.0,24.82383769230769,0.20834786056252283,1.364756496154751
Dak Lak,2009,11,32.0,25.97082076923077,-0.7693539940605372,0.32533326366073045
Dak Lak,2009,12,14.0,27.62267230769231,-0.4858564670919034,2.191456500021069
Dak Lak,2010,1,43.0,27.31804923076923,-0.5830407752662863,4.730784952139052
Dak Lak,2010,2,227.0,25.796597692307692,-0.6253891944421102,5.64311371328166
Dak Lak,2010,3,750.0,24.80074153846154,0.11448998670886695,6.659536515004358
Dak Lak,2010,4,2059.0,24.316164615384615,0.5518310135057065,8.385695982724426
Dak Lak,2010,5,0.0,24.305127692307693,-0.4054543170041507,7.799811911984133
Dak Lak,2010,6,1115.0,23.227934615384616,0.27129611404487225,13.24794787125519
Dak Lak,2010,7,500.0,21.76563846153846,2.1591715342129545,24.269604733070505
Dak Lak,2010,8,0.0,20.94831,1.1622040409578172,14.93620458318919
Dak Lak,2010,9,11.0,20.128924615384616,0.2101699531672281,0.6862093336114694
Dak Lak,2010,10,9.0,22.364158461538462,0.22622041951238542,0.06624953180643336
Dak Lak,2010,11,6.0,22.276117692307693,0.7378682794005296,1.1313180266965943
Dak Lak,2010,12,9.0,24.64686230769231,0.7064633824450716,2.1363129579605387
Dak Lak,2011,1,7.0,25.419051538461538,0.4070751591429109,5.4623400702929255
Dak Lak,2011,2,13.0,24.519272307692308,0.40710196847277114,7.384408193712051
Dak Lak,2011,3,33.0,24.33079769230769,0.05992806697381014,6.754459383396003
Dak Lak,2011,4,33.0,24.278747692307693,0.3490350099921376,8.390879168963199
Dak Lak,2011,5,45.0,23.541325384615387,0.31473955831328065,9.480201836245557
Dak Lak,2011,6,37.0,23.090427692307692,0.21750944013002135,9.353165908788254
Dak Lak,2011,7,15.0,22.69118769230769,-0.24180285612404542,5.624931607878978
Dak Lak,2011,8,7.0,20.466383846153846,-0.37284807029954964,1.6163130971842923
Dak Lak,2011,9,4.0,21.42746615384615,0.8773487480862359,1.3923367230640553
Dak Lak,2011,10,5.0,23.00740153846154,1.4724871254003928,1.338286460780252
Dak Lak,2011,11,4.0,24.62585,1.5953532380630693,3.103603157796898
Dak Lak,2011,12,8.0,25.142533846153846,1.7345437550023095,6.108972808131233
Dak Lak,2012,1,4.0,25.32931307692308,0.7799521299758587,6.478336568062122
Dak Lak,2012,2,20.0,24.73767769230769,-0.1281940108121962,6.1630139825865635
Dak Lak,2012,3,55.0,24.30788846153846,0.4190592290812321,8.001543518800569
Dak Lak,2012,4,105.0,24.558130769230768,0.4448145379380852,9.056844569456114
Dak Lak,2012,5,181.0,23.464636923076924,0.9113374158729024,12.267960844418175
Dak Lak,2012,6,218.0,23.298090000000002,0.22901280922437303,9.168752744349495
Dak Lak,2012,7,163.0,23.89920384615385,-1.1344634282591994,2.9822438105978866
Dak Lak,2012,8,137.0,23.01694230769231,-1.1094020109085638,2.0378641270028734
Dak Lak,2012,9,63.0,21.338951538461536,-0.6056910941443688,0.8379157827552978
Dak Lak,2012,10,16.0,23.378540769230767,0.4947203610071682,1.3594741512161614
Dak Lak,2012,11,11.0,25.814204615384615,0.23393435786483424,0.9176403803464317
Dak Lak,2012,12,116.0,26.302305384615387,0.18700813208943862,1.8687836933307918
Dak Lak,2013,1,361.0,25.71085692307692,0.4537934654957931,5.293964721763934
Dak Lak,2013,2,638.0,24.443686153846155,0.7823098386745821,7.870512566744133
Dak Lak,2013,3,1134.0,23.937836923076926,1.362704364770707,8.713979721785737
Dak Lak,2013,4,930.0,23.875376923076924,1.0932115837291176,9.236603079793541
Dak Lak,2013,5,924.0,23.472286923076922,0.5237420984933575,9.726044256240126
Dak Lak,2013,6,416.0,22.803225384615384,0.05585728626683287,8.515407008906969
Dak Lak,2013,7,234.0,22.64806,-0.17676888643477756,6.25584747355718
Dak Lak,2013,8,97.0,19.845106153846153,-0.40656459433528497,3.05878185162538
Dak Lak,2013,9,15.0,19.539823076923078,-0.8369084681448175,0.29972654041242863
Dak Lak,2013,10,18.0,22.598216923076922,-0.7912903100040082,0.06478127662691033
Dak Lak,2013,11,18.0,25.2504,-0.7551704550713418,0.32506764227946416
Dak Lak,2013,12,31.0,25.875232307692308,0.08182876596656091,2.775324021058623
Dak Lak,2014,1,20.0,26.09476692307692,0.30372317555101297,5.312996746327443
Dak Lak,2014,2,16.0,25.02852615384615,0.5140795760560912,8.36715603677126
Dak Lak,2014,3,27.0,24.11609692307692,1.9402647953596626,11.657806471563308
Dak Lak,2014,4,29.0,24.394188461538462,1.068042644975312,9.661881217303192
Dak Lak,2014,5,64.0,23.952003076923077,-0.9267765479694473,6.578987392668538
Dak Lak,2014,6,53.0,23.753875384615387,-1.2635235925482289,5.409576831600413
Dak Lak,2014,7,41.0,23.611935384615382,-1.133089429558639,3.7273947192051513
Dak Lak,2014,8,34.0,21.099453076923076,-0.38670637044869693,2.2672896727901666
Dak Lak,2014,9,9.0,20.14244846153846,-0.053496765598222286,1.0240998345195225
Dak Lak,2014,10,10.0,22.356359230769232,-0.44741359542044684,0.19346287655690297
Dak Lak,2014,11,11.0,25.404673846153848,-0.7628331089924298,0.23394501679027047
Dak Lak,2014,12,18.0,26.373794615384615,-1.1811036571958615,0.7459924126683641
Dak Lak,2015,1,12.0,26.347335384615384,-1.0942309497359597,2.8856627580423195
Dak Lak,2015,2,25.0,25.21455076923077,-0.338906102501766,6.0381080346325255
Dak Lak,2015,3,81.0,24.47814,0.5539068913035666,8.0032493166912
Dak Lak,2015,4,233.0,24.532447692307695,0.2092031309406122,7.653182793336989
Dak Lak,2015,5,523.0,24.467992307692306,-0.8783046166790848,6.677391338878526
Dak Lak,2015,6,888.0,23.90996076923077,-1.0503633491624162,6.173056013022476
Dak Lak,2015,7,748.0,24.053953846153846,-0.3985896935064749,6.4941406823121595
Dak Lak,2015,8,452.0,22.91270076923077,-0.22817805623080872,4.72778312709684
Dak Lak,2015,9,185.0,23.56828846153846,-0.20593393111473443,1.4581796646010698
Dak Lak,2015,10,125.0,22.23309153846154,-0.39369731017118037,0.4739225879312961
Dak Lak,2015,11,110.0,25.77627076923077,-0.9671236060442825,0.23190397777083346
Dak Lak,2015,12,85.0,28.357854615384614,-1.3841062988700021,0.5655190714238552
Dak Lak,2016,1,168.0,27.075303846153847,-0.8193970204799921,4.348974807026725
Dak Lak,2016,2,647.0,25.277686923076924,0.180430714946768,7.885845986982952
Dak Lak,2016,3,1472.0,24.748202307692306,-0.5367966863668261,5.439614357713324
Dak Lak,2016,4,4293.0,24.87716923076923,-1.3400651423360228,4.527732998562546
